"dI [mm]","wF [mm]","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
7.5,1.5,2.846,1284.99020329224,1168.10702592655
7.5,1.5,2.849,1414.35543365555,1152.53750000929
7.5,1.5,2.852,1553.76365848544,1119.25624394122
7.5,1.5,2.855,1700.89606757801,1063.84327887659
7.5,1.5,2.858,1851.73142587973,981.849870759429
7.5,1.5,2.861,2000.22527018027,869.481640358193
7.5,1.5,2.864,2138.28492092162,724.572850071845
7.5,1.5,2.867,2256.27445682921,547.710300173905
7.5,1.5,2.87,2344.20440722638,343.170717496961
7.5,1.5,2.873,2393.50780502027,119.199906845973
7.5,1.5,2.876,2398.9408022721,-112.748249197355
7.5,1.5,2.879,2359.90159544239,-339.803102936685
7.5,1.5,2.882,2280.58911977495,-549.969473557765
7.5,1.5,2.885,2168.92779067999,-734.107342600832
7.5,1.5,2.888,2034.7407015126,-886.964847735209
7.5,1.5,2.891,1887.88698099229,-1007.1273781669
7.5,1.5,2.894,1736.90691822488,-1096.19532305645
7.5,1.5,2.897,1588.35784431329,-1157.66708608863
7.5,1.5,2.9,1446.73127564473,-1195.90811117576
7.5,1.5,2.903,1314.72250115409,-1215.39279460417
7.5,1.5,2.906,1193.6407130899,-1220.24532912466
7.5,1.5,2.909,1083.82062586328,-1214.02133143362
7.5,1.5,2.912,984.968146568645,-1199.65014711025
7.5,1.5,2.915,896.421147146215,-1179.46833494154
7.5,1.5,2.918,817.331661814022,-1155.29541357747
7.5,1.5,2.921,746.785323079819,-1128.52205128055
7.5,1.5,2.924,683.87487297793,-1100.19480212315
7.5,1.5,2.927,627.742055908868,-1071.09030833945
7.5,1.5,2.93,577.598772086011,-1041.77688968238
7.5,1.5,2.933,532.735222769709,-1012.66397057437
7.5,1.5,2.936,492.52028883007,-984.040876058371
7.5,1.5,2.939,456.397567778738,-956.106828947536
7.5,1.5,2.942,423.879235013398,-928.993904616862
7.5,1.5,2.945,394.53905255412,-902.784469646635
7.5,1.5,2.948,368.005300527591,-877.524361005176
7.5,1.5,2.951,343.954058825204,-853.232807345717
7.5,1.5,2.954,322.103051004036,-829.909874242861
7.5,1.5,2.957,302.206132964892,-807.542035427141
7.5,1.5,2.96,284.048433985584,-786.106329530411
7.5,1.5,2.963,267.442116809464,-765.573451041906
7.5,1.5,2.966,252.222703451525,-745.910039132773
7.5,1.5,2.969,238.245905758598,-727.080363286369
7.5,1.5,2.972,225.384899252432,-709.047555679463
7.5,1.5,2.975,213.527982121064,-691.774503291862
7.5,1.5,2.978,202.576566417425,-675.224484876924
7.5,1.5,2.981,192.443454399114,-659.361616965471
7.5,1.5,2.984,183.051358830711,-644.151157297951
7.5,1.5,2.987,174.331631611904,-629.559702196008
7.5,1.5,2.99,166.223170121132,-615.555305426006
7.5,1.5,2.993,158.671475116566,-602.107539346137
7.5,1.5,2.996,151.627837916937,-589.18751402029
7.5,1.5,2.999,145.048637930901,-576.767866117556
7.5,1.5,3.002,138.894734466816,-564.82272648986
7.5,1.5,3.005,133.130939192005,-553.327673102051
7.5,1.5,3.008,127.725557677659,-542.259674306286
7.5,1.5,3.011,122.649990214719,-531.597026175852
7.5,1.5,3.014,117.878383564094,-521.319286644778
7.5,1.5,3.017,113.387326552678,-511.407208464766
7.5,1.5,3.02,109.155583480357,-501.842672434209
7.5,1.5,3.023,105.163860193216,-492.608621932904
7.5,1.5,3.026,101.394598430166,-483.688999478285
7.5,1.5,3.029,97.8317946864556,-475.068685780163
7.5,1.5,3.032,94.4608403760923,-466.733441592247
7.5,1.5,3.035,91.2683805319705,-458.66985252602
7.5,1.5,3.038,88.2421886702029,-450.86527689474
7.5,1.5,3.041,85.3710557748307,-443.30779658439
7.5,1.5,3.044,82.6446916398387,-435.986170897474
7.5,1.5,3.047,80.0536370448736,-428.889793280306
7.5,1.5,3.05,77.5891854456554,-422.008650820476
