"dI [mm]","wF [mm]","Freq [GHz]","dB(S(1,1)) []"
7.5,2,2.186,-1.27087675219537
7.5,2,2.189,-1.3033371851431
7.5,2,2.192,-1.33709912875403
7.5,2,2.195,-1.37223122324869
7.5,2,2.198,-1.40880650327681
7.5,2,2.201,-1.44690272491653
7.5,2,2.204,-1.48660272015934
7.5,2,2.207,-1.52799478144396
7.5,2,2.21,-1.57117307906622
7.5,2,2.213,-1.61623811458614
7.5,2,2.216,-1.66329721368169
7.5,2,2.219,-1.71246506226642
7.5,2,2.222,-1.76386429009988
7.5,2,2.225,-1.81762610658309
7.5,2,2.228,-1.87389099395237
7.5,2,2.231,-1.93280946367421
7.5,2,2.234,-1.99454288251054
7.5,2,2.237,-2.05926437548189
7.5,2,2.24,-2.12715981382012
7.5,2,2.243,-2.19842889699061
7.5,2,2.246,-2.27328633900065
7.5,2,2.249,-2.35196317052035
7.5,2,2.252,-2.4347081698615
7.5,2,2.255,-2.5217894376278
7.5,2,2.258,-2.61349613191832
7.5,2,2.261,-2.71014038339808
7.5,2,2.264,-2.81205941242432
7.5,2,2.267,-2.9196178738315
7.5,2,2.27,-3.03321045905488
7.5,2,2.273,-3.15326479016571
7.5,2,2.276,-3.28024464629059
7.5,2,2.279,-3.41465357003493
7.5,2,2.282,-3.55703891022571
7.5,2,2.285,-3.70799636790836
7.5,2,2.288,-3.86817512554331
7.5,2,2.291,-4.03828365533319
7.5,2,2.294,-4.2190963222829
7.5,2,2.297,-4.41146092182226
7.5,2,2.3,-4.61630732163897
7.5,2,2.303,-4.83465741397365
7.5,2,2.306,-5.06763662933031
7.5,2,2.309,-5.31648731664645
7.5,2,2.312,-5.58258435941901
7.5,2,2.315,-5.86745347211666
7.5,2,2.318,-6.17279270423125
7.5,2,2.321,-6.50049776363911
7.5,2,2.324,-6.85269184012965
7.5,2,2.327,-7.23176062863708
7.5,2,2.33,-7.64039314713379
7.5,2,2.333,-8.08162856985055
7.5,2,2.336,-8.55890835981022
7.5,2,2.339,-9.07613090021145
7.5,2,2.342,-9.63770141391914
7.5,2,2.345,-10.2485608319607
7.5,2,2.348,-10.9141585216084
7.5,2,2.351,-11.6402952955763
7.5,2,2.354,-12.4326840849776
7.5,2,2.357,-13.2959143256232
7.5,2,2.36,-14.23118530684
7.5,2,2.363,-15.231584397409
7.5,2,2.366,-16.2728395126799
7.5,2,2.369,-17.2973142031586
7.5,2,2.372,-18.1939031495149
7.5,2,2.375,-18.795446506082
7.5,2,2.378,-18.9380094310283
7.5,2,2.381,-18.5751923998368
7.5,2,2.384,-17.8188363698173
7.5,2,2.387,-16.8468949053979
7.5,2,2.39,-15.8041786980534
7.5,2,2.393,-14.7757938161028
7.5,2,2.396,-13.8021058231804
7.5,2,2.399,-12.8981321714805
7.5,2,2.402,-12.0663677235551
7.5,2,2.405,-11.3037107440019
7.5,2,2.408,-10.6048899063676
7.5,2,2.411,-9.9640745550967
7.5,2,2.414,-9.3755906096495
7.5,2,2.417,-8.83420772378681
7.5,2,2.42,-8.33522574735602
7.5,2,2.423,-7.87447090386156
7.5,2,2.426,-7.4482547044964
7.5,2,2.429,-7.05332067393161
7.5,2,2.432,-6.68679034684578
7.5,2,2.435,-6.34611337976618
7.5,2,2.438,-6.0290234509135
7.5,2,2.441,-5.73350014795822
7.5,2,2.444,-5.45773640771833
7.5,2,2.447,-5.2001108430349
7.5,2,2.45,-4.95916425519916
7.5,2,2.453,-4.73357967791893
7.5,2,2.456,-4.52216537791604
7.5,2,2.459,-4.32384032249305
7.5,2,2.462,-4.13762170443288
7.5,2,2.465,-3.96261418502393
7.5,2,2.468,-3.79800057584459
7.5,2,2.471,-3.64303372975575
7.5,2,2.474,-3.49702945250875
7.5,2,2.477,-3.35936027980954
7.5,2,2.48,-3.22944999186379
7.5,2,2.483,-3.10676875948839
7.5,2,2.486,-2.99082883378243
7.5,2,2.489,-2.88118070589913
7.5,2,2.492,-2.77740967530805
7.5,2,2.495,-2.67913277461223
7.5,2,2.498,-2.58599600691525
7.5,2,2.501,-2.49767185825716
7.5,2,2.504,-2.41385705303364
7.5,2,2.507,-2.33427052479065
7.5,2,2.51,-2.25865157852694
7.5,2,2.513,-2.18675822377325
7.5,2,2.516,-2.11836566036347
7.5,2,2.519,-2.05326490105601
7.5,2,2.522,-1.99126151707588
7.5,2,2.525,-1.9321744942857
7.5,2,2.528,-1.87583518910368
7.5,2,2.531,-1.8220863745059
7.5,2,2.534,-1.7707813675097
7.5,2,2.537,-1.72178323045863
7.5,2,2.54,-1.67496403923886
7.5,2,2.543,-1.63020421226835
7.5,2,2.546,-1.58739189472688
7.5,2,2.549,-1.54642239305056
7.5,2,2.552,-1.50719765520605
7.5,2,2.555,-1.46962579269788
7.5,2,2.558,-1.43362064065242
7.5,2,2.561,-1.39910135267063
7.5,2,2.564,-1.36599202745393
7.5,2,2.567,-1.33422136448699
7.5,2,2.57,-1.30372234631308
7.5,2,2.573,-1.27443194516318
7.5,2,2.576,-1.24629085190366
7.5,2,2.579,-1.21924322545127
7.5,2,2.582,-1.19323646096926
7.5,2,2.585,-1.16822097530882
7.5,2,2.588,-1.14415000829498
7.5,2,2.591,-1.12097943857909
7.5,2,2.594,-1.09866761289083
7.5,2,2.597,-1.07717518762378
7.5,2,2.6,-1.05646498177988
7.5,2,2.603,-1.03650184038113
7.5,2,2.606,-1.0172525075325
7.5,2,2.609,-0.998685508388708
7.5,2,2.612,-0.9807710393399
7.5,2,2.615,-0.963480865788273
7.5,2,2.618,-0.946788226939468
7.5,2,2.621,-0.930667747079975
7.5,2,2.624,-0.915095352854713
7.5,2,2.627,-0.900048196098503
7.5,2,2.63,-0.885504581811038
7.5,2,2.633,-0.871443900897793
7.5,2,2.636,-0.857846567329369
7.5,2,2.639,-0.844693959399306
7.5,2,2.642,-0.831968364785456
7.5,2,2.645,-0.819652929143083
7.5,2,2.648,-0.807731607979035
7.5,2,2.651,-0.796189121575522
7.5,2,2.654,-0.785010912749917
7.5,2,2.657,-0.77418310725327
7.5,2,2.66,-0.763692476625007
7.5,2,2.663,-0.753526403335326
7.5,2,2.666,-0.74367284805908
7.5,2,2.669,-0.734120318936808
7.5,2,2.672,-0.724857842689129
7.5,2,2.675,-0.715874937460523
7.5,2,2.678,-0.707161587277665
7.5,2,2.681,-0.698708218015729
7.5,2,2.684,-0.69050567477378
7.5,2,2.687,-0.682545200567503
7.5,2,2.69,-0.674818416254027
7.5,2,2.693,-0.667317301609592
